Domain,Type,Sponsoring Organisation,Date
.toshiba,generic,TOSHIBA Corporation,2023-02-24
.tours,generic,"Sugar Station, LLC",2023-02-24
.town,generic,"Koko Moon, LLC",2023-02-24
.toys,generic,"Pioneer Orchard, LLC",2023-02-24
.trade,generic,Elite Registry Limited,2023-02-24
.trading,generic,DOTTRADING REGISTRY LTD,2023-02-24
.training,generic,"Wild Willow, LLC",2023-02-24
.trust,generic,Artemis Internet Inc,2023-02-24
.tui,generic,TUI AG,2023-02-24
.university,generic,"Little Station, LLC",2023-02-24
.uno,generic,Dot Latin LLC,2023-02-24
.uol,generic,UBN INTERNET LTDA.,2023-02-24
.vacations,generic,"Atomic Tigers, LLC",2023-02-24
.vegas,generic,"Dot Vegas, Inc.",2023-02-24
.ventures,generic,"Binky Lake, LLC",2023-02-24
.versicherung,generic,dotversicherung-registry GmbH,2023-02-24
.vet,generic,"United TLD Holdco, Ltd",2023-02-24
.viajes,generic,"Black Madison, LLC",2023-02-24
.video,generic,"United TLD Holdco, Ltd",2023-02-24
.villas,generic,"New Sky, LLC",2023-02-24
.vision,generic,"Koko Station, LLC",2023-02-24
.vlaanderen,generic,DNS.be vzw,2023-02-24
.vodka,generic,Top Level Domain Holdings Limited,2023-02-24
.vote,generic,Monolith Registry LLC,2023-02-24
.voting,generic,Valuetainment Corp.,2023-02-24
.voto,generic,Monolith Registry LLC,2023-02-24
.voyage,generic,"Ruby House, LLC",2023-02-24
.wales,generic,Nominet UK,2023-02-24
.wang,generic,Zodiac Registry Limited,2023-02-24
.watch,generic,"Sand Shadow, LLC",2023-02-24
.webcam,generic,dot Webcam Limited,2023-02-24
.website,generic,DotWebsite Inc.,2023-02-24
.wed,generic,"Atgron, Inc.",2023-02-24
.wedding,generic,Top Level Domain Holdings Limited,2023-02-24
.whoswho,generic,Who's Who Registry,2023-02-24
.wien,generic,punkt.wien GmbH,2023-02-24
.wiki,generic,"Top Level Design, LLC",2023-02-24
.williamhill,generic,William Hill Organization Limited,2023-02-24
.win,generic,First Registry Limited,2023-02-24
.wme,generic,"William Morris Endeavor Entertainment, LLC",2023-02-24
.work,generic,Top Level Domain Holdings Limited,2023-02-24
.works,generic,"Little Dynamite, LLC",2023-02-24
.world,generic,"Bitter Fields, LLC",2023-02-24
.wtc,generic,"World Trade Centers Association, Inc.",2023-02-24
.wtf,generic,"Hidden Way, LLC",2023-02-24
.xin,generic,Elegant Leader Limited,2023-02-24
.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2023-02-24
.慈善,generic,Excellent First Limited,2023-02-24
.集团,generic,Eagle Horizon Limited,2023-02-24
.在线,generic,TLD REGISTRY LIMITED,2023-02-24
.八卦,generic,Zodiac Scorpio Limited,2023-02-24
.موقع,generic,Suhub Electronic Establishment,2023-02-24
.公益,generic,China Organizational Name Administration Center,2023-02-24
.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2023-02-24
.移动,generic,Afilias Limited,2023-02-24
.我爱你,generic,Tycoon Treasure Limited,2023-02-24
.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2023-02-24
.онлайн,generic,CORE Association,2023-02-24
.сайт,generic,CORE Association,2023-02-24
.时尚,generic,RISE VICTORY LIMITED,2023-02-24
.淡马锡,generic,Temasek Holdings (Private) Limited,2023-02-24
.орг,generic,Public Interest Registry,2023-02-24
.삼성,generic,"SAMSUNG SDS CO., LTD",2023-02-24
.商标,generic,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED,2023-02-24
.商店,generic,"Wild Island, LLC",2023-02-24
.商城,generic,Zodiac Aquarius Limited,2023-02-24
.дети,generic,The Foundation for Network Initiatives “The Smart Internet”,2023-02-24
.中文网,generic,TLD REGISTRY LIMITED,2023-02-24
.中信,generic,CITIC Group Corporation,2023-02-24
.谷歌,generic,Charleston Road Registry Inc.,2023-02-24
.网店,generic,Zodiac Libra Limited,2023-02-24
.संगठन,generic,Public Interest Registry,2023-02-24
.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2023-02-24
.飞利浦,generic,Koninklijke Philips N.V.,2023-02-24
.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd",2023-02-24
.بازار,generic,CORE Association,2023-02-24
.政府,generic,"Net-Chinese Co., Ltd.",2023-02-24
.شبكة,generic,International Domain Registry Pty. Ltd.,2023-02-24
.机构,generic,Public Interest Registry,2023-02-24
.组织机构,generic,Public Interest Registry,2023-02-24
.健康,generic,Stable Tone Limited,2023-02-24
.рус,generic,Rusnames Limited,2023-02-24
.みんな,generic,Charleston Road Registry Inc.,2023-02-24
.グーグル,generic,Charleston Road Registry Inc.,2023-02-24
.世界,generic,Stable Tone Limited,2023-02-24
.网址,generic,"KNET Co., Ltd",2023-02-24
.游戏,generic,"Spring Fields, LLC",2023-02-24
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-02-24
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-02-24
.企业,generic,"Dash McCook, LLC",2023-02-24
.信息,generic,"Beijing Tele-info Network Technology Co., Ltd.",2023-02-24
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2023-02-24
.政务,generic,China Organizational Name Administration Center,2023-02-24
.xyz,generic,XYZ.COM LLC,2023-02-24
.yachts,generic,"DERYachts, LLC",2023-02-24
.yandex,generic,"YANDEX, LLC",2023-02-24
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD.",2023-02-24
.yoga,generic,Top Level Domain Holdings Limited,2023-02-24
.yokohama,generic,"GMO Registry, Inc.",2023-02-24
.youtube,generic,Charleston Road Registry Inc.,2023-02-24
.zip,generic,Charleston Road Registry Inc.,2023-02-24
.zone,generic,"Outer Falls, LLC",2023-02-24
.zuerich,generic,Kanton Zürich (Canton of Zurich),2023-02-24
